Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,1,0,0,0
0.074938833,0,0,0,0
0.075210083,1,0,0,0
0.100756750,0,0,0,0
0.101024500,1,0,0,0
0.139859167,0,0,0,0
0.140224250,1,0,0,0
0.171621083,0,0,0,0
0.171861333,1,0,0,0
0.291522750,0,0,0,0
0.291738667,1,0,0,0
0.299534000,0,0,0,0
0.299799833,1,0,0,0
0.300066750,0,0,0,0
0.300527750,1,0,0,0
0.301064583,0,0,0,0
0.301549000,1,0,0,0
0.306849000,0,0,0,0
0.307057000,1,0,0,0
0.307543417,0,0,0,0
0.307871750,1,0,0,0
0.307947833,0,0,0,0
0.308512833,1,0,0,0
0.319515000,0,0,0,0
0.319724667,1,0,0,0
0.328036750,0,0,0,0
0.328405083,1,0,0,0
0.370654500,0,0,0,0
0.370895417,1,0,0,0
0.402034083,0,0,0,0
0.402412750,1,0,0,0
0.402706833,0,0,0,0
0.402923333,1,0,0,0
0.403252917,0,0,0,0
0.403499250,1,0,0,0
0.714927167,0,0,0,0
0.715440250,1,0,0,0
0.835823000,0,0,0,0
0.836120833,1,0,0,0
3.940969833,0,0,0,0
3.941177833,1,0,0,0
3.979145167,0,0,0,0
3.988155083,1,0,0,0
3.992613083,0,0,0,0
3.993217917,1,0,0,0
3.993737083,0,0,0,0
3.994347833,1,0,0,0
3.994861250,0,0,0,0
3.995466750,1,0,0,0
3.995985417,0,0,0,0
3.996596750,1,0,0,0
3.997109583,0,0,0,0
3.997715667,1,0,0,0
3.998233750,0,0,0,0
3.998845583,1,0,0,0
3.999357917,0,0,0,0
3.999964667,1,0,0,0
4.001605667,0,0,0,0
4.002213417,1,0,0,0
4.002730500,0,0,0,0
4.003343417,1,0,0,0
4.004978167,0,0,0,0
4.005581500,1,0,0,0
4.007225833,0,0,0,0
4.007830333,1,0,0,0
4.009473500,0,0,0,0
4.010079333,1,0,0,0
4.011721167,0,0,0,0
4.012328167,1,0,0,0
4.013968833,0,0,0,0
4.014577000,1,0,0,0
4.016216500,0,0,0,0
4.016826000,1,0,0,0
4.017340750,0,0,0,0
4.017945000,1,0,0,0
4.019588750,0,0,0,0
4.020193917,1,0,0,0
4.020712917,0,0,0,0
4.021323833,1,0,0,0
4.021837083,0,0,0,0
4.022442833,1,0,0,0
4.022961250,0,0,0,0
4.023572667,1,0,0,0
4.024085417,0,0,0,0
4.024691833,1,0,0,0
4.025209583,0,0,0,0
4.025821833,1,0,0,0
4.026333750,0,0,0,0
4.026940750,1,0,0,0
4.027457917,0,0,0,0
4.028070667,1,0,0,0
4.028582833,0,0,0,0
4.029189500,1,0,0,0
4.030830500,0,0,0,0
4.031438417,1,0,0,0
4.033078167,0,0,0,0
4.033687250,1,0,0,0
4.035325833,0,0,0,0
4.035936083,1,0,0,0
4.037573500,0,0,0,0
4.038185000,1,0,0,0
4.039821167,0,0,0,0
4.040564333,1,0,0,0
4.042069083,0,0,0,0
4.042672000,1,0,0,0
4.044316500,0,0,0,0
4.044986083,1,0,0,0
4.046565000,0,0,0,0
4.047202500,1,0,0,0
4.086971250,0,0,0,0
4.095982083,1,0,0,0
4.098196167,0,0,0,0
4.098807000,1,0,0,0
4.136401750,0,0,0,0
4.136614250,1,0,0,0
4.194683750,0,0,0,0
4.203722917,1,0,0,0
4.205909083,0,0,0,0
4.206547750,1,0,0,0
4.302396250,0,0,0,0
4.311430167,1,0,0,0
4.313621083,0,0,0,0
4.314254917,1,0,0,0
5.298800000,0,0,0,0
5.307836417,1,0,0,0
5.312268000,0,0,0,0
5.312910000,1,0,0,0
5.313392000,0,0,0,0
5.314029167,1,0,0,0
5.314516083,0,0,0,0
5.315159000,1,0,0,0
5.315640333,0,0,0,0
5.316278000,1,0,0,0
5.316764500,0,0,0,0
5.317397167,1,0,0,0
5.317888667,0,0,0,0
5.318527083,1,0,0,0
5.319012833,0,0,0,0
5.319646167,1,0,0,0
5.321260500,0,0,0,0
5.321894917,1,0,0,0
5.322385333,0,0,0,0
5.323024833,1,0,0,0
5.324633000,0,0,0,0
5.325241000,1,0,0,0
5.326880667,0,0,0,0
5.327522333,1,0,0,0
5.329128333,0,0,0,0
5.329738750,1,0,0,0
5.331376000,0,0,0,0
5.331987583,1,0,0,0
5.333623750,0,0,0,0
5.334236667,1,0,0,0
5.335871417,0,0,0,0
5.336474750,1,0,0,0
5.336995583,0,0,0,0
5.337604667,1,0,0,0
5.339243583,0,0,0,0
5.339853417,1,0,0,0
5.341491250,0,0,0,0
5.342102417,1,0,0,0
5.342615417,0,0,0,0
5.343221500,1,0,0,0
5.343739583,0,0,0,0
5.344351500,1,0,0,0
5.344863750,0,0,0,0
5.345470500,1,0,0,0
5.345987917,0,0,0,0
5.346600417,1,0,0,0
5.347112083,0,0,0,0
5.347719417,1,0,0,0
5.348236250,0,0,0,0
5.348849333,1,0,0,0
5.349361083,0,0,0,0
5.349968250,1,0,0,0
5.350485250,0,0,0,0
5.351098250,1,0,0,0
5.352732917,0,0,0,0
5.353336250,1,0,0,0
5.354980667,0,0,0,0
5.355585250,1,0,0,0
5.357228333,0,0,0,0
5.357834083,1,0,0,0
5.359476000,0,0,0,0
5.360083000,1,0,0,0
5.361723667,0,0,0,0
5.362331833,1,0,0,0
5.363971333,0,0,0,0
5.364580667,1,0,0,0
5.366219667,0,0,0,0
5.366829583,1,0,0,0
5.406626000,0,0,0,0
5.415631333,1,0,0,0
5.417851167,0,0,0,0
5.418456083,1,0,0,0
5.514338333,0,0,0,0
5.523348250,1,0,0,0
5.525563167,0,0,0,0
5.526172917,1,0,0,0
5.622051333,0,0,0,0
5.631054500,1,0,0,0
5.633276167,0,0,0,0
5.633890083,1,0,0,0
6.601635917,0,0,0,0
6.610648583,1,0,0,0
6.615103833,0,0,0,0
6.615744083,1,0,0,0
6.616227833,0,0,0,0
6.616863167,1,0,0,0
6.617352000,0,0,0,0
6.617993083,1,0,0,0
6.618476167,0,0,0,0
6.619112167,1,0,0,0
6.619600333,0,0,0,0
6.620242000,1,0,0,0
6.620724500,0,0,0,0
6.621361167,1,0,0,0
6.621848667,0,0,0,0
6.622491000,1,0,0,0
6.624096333,0,0,0,0
6.624729167,1,0,0,0
6.625221167,0,0,0,0
6.625859167,1,0,0,0
6.627468833,0,0,0,0
6.628108083,1,0,0,0
6.629716500,0,0,0,0
6.630357000,1,0,0,0
6.631964167,0,0,0,0
6.632605917,1,0,0,0
6.634211833,0,0,0,0
6.634854667,1,0,0,0
6.636459500,0,0,0,0
6.637092833,1,0,0,0
6.638707250,0,0,0,0
6.639341833,1,0,0,0
6.639831417,0,0,0,0
6.640471667,1,0,0,0
6.642079417,0,0,0,0
6.642720583,1,0,0,0
6.643203583,0,0,0,0
6.643839833,1,0,0,0
6.645451250,0,0,0,0
6.646088750,1,0,0,0
6.646575417,0,0,0,0
6.647218667,1,0,0,0
6.647699583,0,0,0,0
6.648337667,1,0,0,0
6.648823750,0,0,0,0
